gender,,Time_spend,feel,,felt_left,avoid,affect,amount,pressure,experience,worry,MentalStressLevel,distracted,others,share,Anxious,Follow,interact,impact
Female,,1-2 hours a day,Neutral,,Rarely,Sometimes,It doesn't affect my sleep,I feel it's out of control,Never,Never,Never,moderate,Often,Motivated,Always,Rarely,Sometimes,Never,Rarely
Male,,3-4 hours a day,Depressed or sad,,Often,Never,It significantly affects my sleep,I'm satisfied,Rarely,Often,Sometimes,normal,Very often,Motivated,Always,Often,Rarely,Rarely,Sometimes
Other,,More than 4 hours a day,Anxious or stressed,,Rarely,Often,It slightly affects my sleep,I feel I spend too much time,Often,Never,Never,moderate,Occasionally,Indifferent,Always,Rarely,Rarely,Often,Sometimes
Female,,Less than 1 hour a day,Anxious or stressed,,Often,Often,It doesn't affect my sleep,I feel it's out of control,Never,Often,Sometimes,high,Very often,Motivated,Always,Often,Sometimes,Often,Often
Other,,3-4 hours a day,Happy and relaxed,,Never,Never,It slightly affects my sleep,I'm satisfied,Never,Often,Often,normal,Very often,Depressed,Rarely or never,Rarely,Rarely,Never,Often
Female,,1-2 hours a day,Neutral,,Often,Never,It significantly affects my sleep,I feel I could reduce it a bit,Never,Rarely,Rarely,moderate,Occasionally,Depressed,Always,Often,Never,Often,Never
Male,,More than 4 hours a day,Anxious or stressed,,Often,Often,It doesn't affect my sleep,I feel I spend too much time,Rarely,Sometimes,Never,normal,Very often,Jealous,Sometimes,Never,Never,Sometimes,Never
Female,,1-2 hours a day,Neutral,,Sometimes,Never,It moderately affects my sleep,I feel I spend too much time,Sometimes,Never,Sometimes,normal,Often,Depressed,Often,Often,Sometimes,Sometimes,Sometimes
Male,,3-4 hours a day,Happy and relaxed,,Never,Never,It significantly affects my sleep,I'm satisfied,Rarely,Often,Rarely,moderate,Rarely,Jealous,Sometimes,Rarely,Sometimes,Rarely,Often
Other,,3-4 hours a day,Neutral,,Often,Sometimes,It doesn't affect my sleep,I feel it's out of control,Never,Never,Sometimes,moderate,Rarely,Jealous,Sometimes,Never,Often,Sometimes,Often
Male,,Less than 1 hour a day,Depressed or sad,,Rarely,Sometimes,It doesn't affect my sleep,I'm satisfied,Never,Often,Sometimes,high,Very often,Jealous,Always,Sometimes,Never,Often,Sometimes
Male,,More than 4 hours a day,Neutral,,Sometimes,Sometimes,It significantly affects my sleep,I'm satisfied,Often,Often,Sometimes,normal,Very often,Depressed,Always,Often,Sometimes,Rarely,Rarely
Female,,Less than 1 hour a day,Depressed or sad,,Rarely,Never,It significantly affects my sleep,I feel I spend too much time,Often,Never,Never,moderate,Occasionally,Motivated,Always,Never,Sometimes,Never,Rarely
Male,,1-2 hours a day,Happy and relaxed,,Sometimes,Never,It slightly affects my sleep,I feel it's out of control,Often,Never,Sometimes,moderate,Very often,Motivated,Often,Sometimes,Sometimes,Sometimes,Sometimes
Male,,1-2 hours a day,Neutral,,Often,Rarely,It slightly affects my sleep,I'm satisfied,Never,Never,Never,normal,Occasionally,Depressed,Sometimes,Never,Often,Never,Never
Male,,Less than 1 hour a day,Depressed or sad,,Often,Often,It significantly affects my sleep,I feel I spend too much time,Often,Often,Rarely,high,Very often,Depressed,Sometimes,Never,Often,Rarely,Rarely
Other,,3-4 hours a day,Neutral,,Often,Rarely,It significantly affects my sleep,I feel I could reduce it a bit,Sometimes,Often,Never,moderate,Occasionally,Indifferent,Often,Often,Never,Sometimes,Often
Other,,3-4 hours a day,Happy and relaxed,,Never,Often,It significantly affects my sleep,I'm satisfied,Never,Never,Sometimes,high,Often,Motivated,Sometimes,Never,Rarely,Never,Never
Male,,1-2 hours a day,Happy and relaxed,,Sometimes,Rarely,It moderately affects my sleep,I feel I spend too much time,Often,Often,Often,high,Very often,Indifferent,Always,Rarely,Never,Often,Sometimes
Female,,3-4 hours a day,Depressed or sad,,Never,Rarely,It slightly affects my sleep,I'm satisfied,Rarely,Rarely,Often,high,Occasionally,Indifferent,Always,Rarely,Rarely,Never,Never
Female,,3-4 hours a day,Happy and relaxed,,Rarely,Never,It doesn't affect my sleep,I feel I could reduce it a bit,Never,Sometimes,Sometimes,moderate,Occasionally,Jealous,Rarely or never,Rarely,Sometimes,Sometimes,Rarely
Other,,1-2 hours a day,Anxious or stressed,,Never,Never,It doesn't affect my sleep,I feel it's out of control,Rarely,Often,Rarely,normal,Often,Motivated,Sometimes,Never,Sometimes,Rarely,Never
Male,,1-2 hours a day,Anxious or stressed,,Sometimes,Often,It significantly affects my sleep,I feel I could reduce it a bit,Never,Sometimes,Often,high,Often,Depressed,Often,Often,Never,Rarely,Sometimes
Other,,Less than 1 hour a day,Anxious or stressed,,Sometimes,Often,It doesn't affect my sleep,I feel I could reduce it a bit,Sometimes,Rarely,Sometimes,high,Rarely,Motivated,Sometimes,Rarely,Never,Often,Often
Female,,3-4 hours a day,Depressed or sad,,Sometimes,Never,It doesn't affect my sleep,I feel it's out of control,Never,Rarely,Often,high,Very often,Jealous,Rarely or never,Rarely,Rarely,Sometimes,Often
Other,,1-2 hours a day,Anxious or stressed,,Rarely,Often,It doesn't affect my sleep,I feel I spend too much time,Sometimes,Often,Often,normal,Very often,Depressed,Rarely or never,Sometimes,Often,Rarely,Sometimes
Male,,More than 4 hours a day,Neutral,,Never,Rarely,It significantly affects my sleep,I feel it's out of control,Sometimes,Rarely,Often,normal,Very often,Indifferent,Often,Often,Rarely,Sometimes,Never
Female,,More than 4 hours a day,Neutral,,Rarely,Often,It significantly affects my sleep,I'm satisfied,Sometimes,Sometimes,Sometimes,moderate,Rarely,Motivated,Always,Often,Often,Often,Never
Male,,1-2 hours a day,Depressed or sad,,Sometimes,Sometimes,It significantly affects my sleep,I feel I could reduce it a bit,Often,Sometimes,Sometimes,high,Occasionally,Depressed,Rarely or never,Never,Sometimes,Often,Often
Other,,More than 4 hours a day,Neutral,,Rarely,Never,It significantly affects my sleep,I feel I could reduce it a bit,Rarely,Often,Often,high,Rarely,Indifferent,Always,Rarely,Sometimes,Often,Never
Male,,Less than 1 hour a day,Depressed or sad,,Often,Rarely,It doesn't affect my sleep,I feel I could reduce it a bit,Never,Often,Sometimes,moderate,Often,Jealous,Rarely or never,Sometimes,Never,Sometimes,Never
Female,,More than 4 hours a day,Happy and relaxed,,Often,Often,It significantly affects my sleep,I feel I spend too much time,Never,Rarely,Often,high,Rarely,Jealous,Sometimes,Often,Sometimes,Sometimes,Never
Male,,3-4 hours a day,Anxious or stressed,,Sometimes,Never,It doesn't affect my sleep,I'm satisfied,Never,Sometimes,Sometimes,high,Occasionally,Jealous,Sometimes,Never,Rarely,Never,Sometimes
Male,,More than 4 hours a day,Anxious or stressed,,Rarely,Never,It doesn't affect my sleep,I'm satisfied,Sometimes,Often,Often,high,Very often,Indifferent,Often,Sometimes,Rarely,Rarely,Rarely
Male,,1-2 hours a day,Happy and relaxed,,Often,Sometimes,It significantly affects my sleep,I feel it's out of control,Never,Rarely,Rarely,high,Often,Motivated,Always,Sometimes,Sometimes,Often,Never
Female,,3-4 hours a day,Depressed or sad,,Rarely,Rarely,It significantly affects my sleep,I'm satisfied,Sometimes,Rarely,Never,high,Often,Jealous,Often,Rarely,Sometimes,Often,Often
Other,,Less than 1 hour a day,Neutral,,Rarely,Never,It doesn't affect my sleep,I feel it's out of control,Never,Often,Sometimes,high,Often,Jealous,Always,Never,Often,Sometimes,Never
Other,,Less than 1 hour a day,Anxious or stressed,,Sometimes,Often,It slightly affects my sleep,I feel I could reduce it a bit,Often,Often,Often,normal,Often,Depressed,Often,Never,Often,Never,Never
Male,,Less than 1 hour a day,Depressed or sad,,Often,Never,It doesn't affect my sleep,I feel I could reduce it a bit,Often,Rarely,Rarely,normal,Very often,Indifferent,Sometimes,Rarely,Never,Sometimes,Rarely
Other,,3-4 hours a day,Depressed or sad,,Often,Often,It moderately affects my sleep,I feel I could reduce it a bit,Never,Sometimes,Rarely,moderate,Often,Depressed,Sometimes,Rarely,Rarely,Sometimes,Often
Other,,Less than 1 hour a day,Anxious or stressed,,Sometimes,Sometimes,It doesn't affect my sleep,I feel I could reduce it a bit,Sometimes,Often,Often,normal,Very often,Jealous,Rarely or never,Sometimes,Never,Rarely,Rarely
Female,,1-2 hours a day,Anxious or stressed,,Rarely,Often,It slightly affects my sleep,I feel I could reduce it a bit,Never,Often,Never,moderate,Rarely,Jealous,Often,Rarely,Often,Often,Never
Other,,Less than 1 hour a day,Anxious or stressed,,Never,Rarely,It slightly affects my sleep,I feel I could reduce it a bit,Often,Rarely,Often,normal,Often,Indifferent,Often,Never,Rarely,Sometimes,Rarely
Male,,Less than 1 hour a day,Depressed or sad,,Often,Rarely,It doesn't affect my sleep,I feel it's out of control,Rarely,Sometimes,Often,moderate,Rarely,Motivated,Always,Never,Often,Never,Rarely
Female,,Less than 1 hour a day,Depressed or sad,,Often,Often,It moderately affects my sleep,I feel I could reduce it a bit,Never,Often,Never,moderate,Very often,Indifferent,Sometimes,Rarely,Sometimes,Rarely,Rarely
Female,,More than 4 hours a day,Happy and relaxed,,Sometimes,Never,It doesn't affect my sleep,I feel it's out of control,Never,Rarely,Never,moderate,Occasionally,Motivated,Sometimes,Rarely,Never,Rarely,Sometimes
Female,,Less than 1 hour a day,Happy and relaxed,,Never,Rarely,It doesn't affect my sleep,I'm satisfied,Never,Never,Sometimes,normal,Occasionally,Jealous,Rarely or never,Never,Sometimes,Rarely,Rarely
Male,,Less than 1 hour a day,Depressed or sad,,Sometimes,Often,It moderately affects my sleep,I feel I could reduce it a bit,Never,Never,Never,high,Very often,Depressed,Rarely or never,Sometimes,Never,Often,Rarely
Male,,Less than 1 hour a day,Depressed or sad,,Never,Never,It significantly affects my sleep,I'm satisfied,Rarely,Often,Often,high,Very often,Depressed,Rarely or never,Never,Never,Rarely,Never
Other,,More than 4 hours a day,Depressed or sad,,Sometimes,Sometimes,It significantly affects my sleep,I feel it's out of control,Never,Often,Never,normal,Very often,Indifferent,Always,Sometimes,Often,Never,Rarely
Other,,More than 4 hours a day,Happy and relaxed,,Rarely,Rarely,It significantly affects my sleep,I'm satisfied,Often,Never,Rarely,moderate,Very often,Jealous,Often,Never,Never,Sometimes,Sometimes
Male,,More than 4 hours a day,Happy and relaxed,,Rarely,Never,It moderately affects my sleep,I'm satisfied,Sometimes,Never,Rarely,high,Occasionally,Motivated,Always,Rarely,Never,Sometimes,Often
Male,,1-2 hours a day,Anxious or stressed,,Never,Sometimes,It significantly affects my sleep,I feel it's out of control,Never,Never,Rarely,normal,Rarely,Indifferent,Always,Sometimes,Never,Never,Rarely
Female,,3-4 hours a day,Depressed or sad,,Never,Never,It moderately affects my sleep,I feel I could reduce it a bit,Never,Often,Never,high,Often,Jealous,Sometimes,Never,Sometimes,Rarely,Often
Other,,3-4 hours a day,Neutral,,Rarely,Sometimes,It moderately affects my sleep,I feel it's out of control,Rarely,Rarely,Rarely,high,Very often,Indifferent,Rarely or never,Never,Often,Often,Rarely
Female,,1-2 hours a day,Neutral,,Often,Rarely,It doesn't affect my sleep,I feel I spend too much time,Rarely,Never,Often,high,Rarely,Motivated,Always,Often,Sometimes,Sometimes,Often
Female,,3-4 hours a day,Neutral,,Often,Rarely,It doesn't affect my sleep,I'm satisfied,Sometimes,Sometimes,Rarely,high,Rarely,Jealous,Rarely or never,Never,Rarely,Often,Rarely
Female,,Less than 1 hour a day,Depressed or sad,,Often,Rarely,It moderately affects my sleep,I feel I spend too much time,Never,Never,Rarely,high,Occasionally,Jealous,Always,Sometimes,Often,Often,Sometimes
Male,,More than 4 hours a day,Depressed or sad,,Never,Often,It significantly affects my sleep,I feel I spend too much time,Rarely,Sometimes,Sometimes,moderate,Often,Indifferent,Sometimes,Often,Rarely,Rarely,Sometimes
Male,,1-2 hours a day,Happy and relaxed,,Often,Sometimes,It slightly affects my sleep,I'm satisfied,Rarely,Sometimes,Sometimes,moderate,Often,Indifferent,Rarely or never,Rarely,Often,Rarely,Sometimes
Other,,More than 4 hours a day,Depressed or sad,,Often,Often,It doesn't affect my sleep,I'm satisfied,Never,Sometimes,Often,high,Very often,Indifferent,Sometimes,Often,Rarely,Often,Never
Male,,1-2 hours a day,Anxious or stressed,,Often,Sometimes,It significantly affects my sleep,I feel it's out of control,Often,Often,Often,normal,Very often,Motivated,Often,Rarely,Often,Often,Often
Other,,Less than 1 hour a day,Neutral,,Never,Rarely,It moderately affects my sleep,I feel I spend too much time,Sometimes,Never,Rarely,normal,Occasionally,Motivated,Always,Often,Never,Never,Never
Female,,3-4 hours a day,Anxious or stressed,,Never,Never,It slightly affects my sleep,I feel I spend too much time,Rarely,Never,Never,high,Rarely,Indifferent,Sometimes,Sometimes,Never,Never,Sometimes
Other,,More than 4 hours a day,Depressed or sad,,Rarely,Never,It slightly affects my sleep,I feel it's out of control,Sometimes,Sometimes,Never,moderate,Very often,Jealous,Always,Never,Rarely,Never,Sometimes
Male,,1-2 hours a day,Depressed or sad,,Rarely,Never,It significantly affects my sleep,I feel it's out of control,Never,Sometimes,Sometimes,normal,Rarely,Motivated,Sometimes,Rarely,Sometimes,Often,Rarely
Female,,1-2 hours a day,Anxious or stressed,,Rarely,Sometimes,It doesn't affect my sleep,I'm satisfied,Sometimes,Often,Never,normal,Often,Depressed,Always,Never,Often,Rarely,Often
Male,,More than 4 hours a day,Anxious or stressed,,Sometimes,Rarely,It moderately affects my sleep,I feel it's out of control,Often,Rarely,Never,normal,Often,Jealous,Often,Often,Rarely,Rarely,Never
Male,,More than 4 hours a day,Depressed or sad,,Rarely,Often,It moderately affects my sleep,I feel it's out of control,Never,Rarely,Never,moderate,Very often,Jealous,Rarely or never,Never,Rarely,Sometimes,Rarely
Other,,More than 4 hours a day,Happy and relaxed,,Rarely,Rarely,It significantly affects my sleep,I feel it's out of control,Rarely,Sometimes,Rarely,normal,Occasionally,Depressed,Sometimes,Rarely,Often,Often,Often
Other,,Less than 1 hour a day,Neutral,,Often,Rarely,It significantly affects my sleep,I feel I spend too much time,Often,Rarely,Rarely,high,Very often,Indifferent,Always,Rarely,Never,Rarely,Rarely
Male,,1-2 hours a day,Anxious or stressed,,Sometimes,Rarely,It doesn't affect my sleep,I'm satisfied,Often,Rarely,Never,normal,Very often,Motivated,Always,Often,Rarely,Never,Never
Male,,3-4 hours a day,Depressed or sad,,Rarely,Never,It slightly affects my sleep,I'm satisfied,Rarely,Never,Never,moderate,Very often,Depressed,Sometimes,Sometimes,Sometimes,Often,Never
Female,,3-4 hours a day,Happy and relaxed,,Rarely,Sometimes,It slightly affects my sleep,I feel I could reduce it a bit,Rarely,Never,Never,high,Rarely,Motivated,Always,Sometimes,Rarely,Sometimes,Often
Female,,Less than 1 hour a day,Happy and relaxed,,Never,Rarely,It moderately affects my sleep,I feel I could reduce it a bit,Never,Sometimes,Rarely,normal,Rarely,Indifferent,Always,Never,Often,Rarely,Often
Other,,1-2 hours a day,Depressed or sad,,Rarely,Often,It significantly affects my sleep,I'm satisfied,Often,Sometimes,Often,normal,Occasionally,Indifferent,Rarely or never,Rarely,Never,Often,Often
Male,,More than 4 hours a day,Neutral,,Often,Never,It slightly affects my sleep,I feel I could reduce it a bit,Rarely,Sometimes,Never,normal,Occasionally,Indifferent,Sometimes,Sometimes,Never,Often,Never
Female,,1-2 hours a day,Anxious or stressed,,Never,Never,It doesn't affect my sleep,I feel I could reduce it a bit,Often,Rarely,Rarely,normal,Rarely,Motivated,Often,Never,Often,Often,Often
Other,,More than 4 hours a day,Happy and relaxed,,Sometimes,Rarely,It significantly affects my sleep,I'm satisfied,Often,Sometimes,Rarely,normal,Occasionally,Jealous,Often,Sometimes,Often,Sometimes,Sometimes
Other,,1-2 hours a day,Neutral,,Often,Rarely,It slightly affects my sleep,I feel it's out of control,Never,Sometimes,Rarely,high,Often,Indifferent,Often,Sometimes,Rarely,Rarely,Sometimes
Female,,Less than 1 hour a day,Neutral,,Often,Often,It significantly affects my sleep,I'm satisfied,Often,Sometimes,Rarely,normal,Very often,Jealous,Always,Rarely,Often,Rarely,Never
Female,,Less than 1 hour a day,Depressed or sad,,Rarely,Often,It significantly affects my sleep,I feel it's out of control,Sometimes,Often,Often,high,Occasionally,Indifferent,Often,Never,Often,Rarely,Never
Female,,3-4 hours a day,Anxious or stressed,,Rarely,Never,It slightly affects my sleep,I feel I could reduce it a bit,Often,Never,Sometimes,normal,Often,Depressed,Often,Rarely,Often,Sometimes,Often
Female,,Less than 1 hour a day,Depressed or sad,,Never,Rarely,It slightly affects my sleep,I feel I could reduce it a bit,Never,Sometimes,Sometimes,high,Rarely,Depressed,Often,Never,Sometimes,Sometimes,Often
Male,,Less than 1 hour a day,Happy and relaxed,,Often,Never,It significantly affects my sleep,I feel I spend too much time,Sometimes,Never,Sometimes,normal,Rarely,Depressed,Often,Rarely,Rarely,Never,Often
Other,,3-4 hours a day,Anxious or stressed,,Sometimes,Never,It significantly affects my sleep,I feel I spend too much time,Sometimes,Never,Often,moderate,Occasionally,Jealous,Sometimes,Sometimes,Never,Rarely,Sometimes
Male,,More than 4 hours a day,Happy and relaxed,,Often,Rarely,It slightly affects my sleep,I feel it's out of control,Often,Sometimes,Often,moderate,Occasionally,Jealous,Sometimes,Often,Sometimes,Rarely,Often
Female,,3-4 hours a day,Neutral,,Rarely,Never,It slightly affects my sleep,I feel I spend too much time,Never,Often,Often,high,Very often,Jealous,Always,Often,Never,Often,Sometimes
Male,,1-2 hours a day,Depressed or sad,,Rarely,Rarely,It significantly affects my sleep,I'm satisfied,Never,Sometimes,Sometimes,high,Very often,Jealous,Always,Often,Never,Sometimes,Often
Female,,1-2 hours a day,Anxious or stressed,,Rarely,Often,It moderately affects my sleep,I feel I could reduce it a bit,Sometimes,Sometimes,Sometimes,high,Occasionally,Depressed,Always,Rarely,Sometimes,Rarely,Never
Male,,1-2 hours a day,Happy and relaxed,,Sometimes,Rarely,It slightly affects my sleep,I feel I spend too much time,Rarely,Rarely,Often,normal,Occasionally,Indifferent,Always,Often,Never,Never,Never
Male,,Less than 1 hour a day,Happy and relaxed,,Sometimes,Often,It slightly affects my sleep,I feel it's out of control,Rarely,Never,Rarely,high,Occasionally,Depressed,Sometimes,Never,Often,Often,Sometimes
Female,,More than 4 hours a day,Neutral,,Rarely,Sometimes,It moderately affects my sleep,I'm satisfied,Often,Rarely,Never,moderate,Often,Jealous,Rarely or never,Rarely,Never,Rarely,Often
Female,,Less than 1 hour a day,Anxious or stressed,,Sometimes,Sometimes,It moderately affects my sleep,I feel I spend too much time,Often,Sometimes,Never,moderate,Very often,Depressed,Often,Rarely,Never,Often,Never
Female,,1-2 hours a day,Anxious or stressed,,Often,Often,It slightly affects my sleep,I feel it's out of control,Never,Sometimes,Rarely,normal,Rarely,Indifferent,Always,Often,Never,Rarely,Sometimes
Male,,1-2 hours a day,Happy and relaxed,,Rarely,Rarely,It slightly affects my sleep,I feel I could reduce it a bit,Never,Sometimes,Often,normal,Very often,Indifferent,Sometimes,Sometimes,Sometimes,Rarely,Rarely
Female,,3-4 hours a day,Depressed or sad,,Often,Never,It doesn't affect my sleep,I'm satisfied,Never,Sometimes,Sometimes,moderate,Rarely,Depressed,Sometimes,Never,Rarely,Sometimes,Never
Male,,3-4 hours a day,Happy and relaxed,,Often,Often,It slightly affects my sleep,I feel it's out of control,Rarely,Never,Often,high,Rarely,Motivated,Always,Never,Never,Rarely,Never
Female,,More than 4 hours a day,Neutral,,Rarely,Rarely,It slightly affects my sleep,I feel I spend too much time,Sometimes,Often,Often,high,Rarely,Jealous,Often,Rarely,Often,Sometimes,Never
Male,,More than 4 hours a day,Anxious or stressed,,Rarely,Often,It significantly affects my sleep,I feel I could reduce it a bit,Sometimes,Rarely,Never,high,Rarely,Jealous,Rarely or never,Sometimes,Often,Often,Sometimes
Female,,Less than 1 hour a day,Anxious or stressed,,Often,Often,It moderately affects my sleep,I'm satisfied,Sometimes,Never,Never,high,Rarely,Motivated,Sometimes,Never,Often,Rarely,Rarely
Female,,Less than 1 hour a day,Anxious or stressed,,Sometimes,Sometimes,It moderately affects my sleep,I feel it's out of control,Often,Often,Rarely,normal,Very often,Depressed,Always,Never,Sometimes,Never,Sometimes
Female,,Less than 1 hour a day,Neutral,,Rarely,Often,It significantly affects my sleep,I feel I could reduce it a bit,Often,Rarely,Rarely,normal,Rarely,Jealous,Often,Rarely,Often,Never,Never
Male,,Less than 1 hour a day,Happy and relaxed,,Never,Rarely,It significantly affects my sleep,I feel it's out of control,Often,Sometimes,Rarely,high,Often,Indifferent,Always,Never,Rarely,Never,Often
Other,,1-2 hours a day,Happy and relaxed,,Often,Rarely,It significantly affects my sleep,I'm satisfied,Sometimes,Never,Never,high,Often,Motivated,Sometimes,Sometimes,Often,Often,Sometimes
Other,,1-2 hours a day,Depressed or sad,,Sometimes,Often,It slightly affects my sleep,I feel it's out of control,Rarely,Often,Rarely,high,Very often,Jealous,Always,Sometimes,Sometimes,Rarely,Never
Female,,1-2 hours a day,Depressed or sad,,Sometimes,Rarely,It significantly affects my sleep,I feel I could reduce it a bit,Never,Rarely,Sometimes,normal,Often,Indifferent,Often,Rarely,Often,Never,Often
Male,,1-2 hours a day,Depressed or sad,,Sometimes,Never,It doesn't affect my sleep,I feel I could reduce it a bit,Rarely,Rarely,Sometimes,moderate,Very often,Motivated,Sometimes,Often,Often,Often,Rarely
Female,,Less than 1 hour a day,Anxious or stressed,,Rarely,Never,It significantly affects my sleep,I'm satisfied,Often,Never,Rarely,high,Rarely,Jealous,Always,Often,Rarely,Never,Never
Female,,1-2 hours a day,Depressed or sad,,Often,Rarely,It moderately affects my sleep,I feel I could reduce it a bit,Rarely,Sometimes,Rarely,high,Occasionally,Indifferent,Rarely or never,Sometimes,Often,Never,Never
Female,,Less than 1 hour a day,Happy and relaxed,,Sometimes,Sometimes,It significantly affects my sleep,I'm satisfied,Rarely,Never,Sometimes,normal,Very often,Depressed,Always,Sometimes,Never,Rarely,Never
Other,,1-2 hours a day,Happy and relaxed,,Sometimes,Never,It significantly affects my sleep,I feel I spend too much time,Sometimes,Rarely,Rarely,moderate,Occasionally,Jealous,Sometimes,Never,Sometimes,Sometimes,Never
Female,,1-2 hours a day,Happy and relaxed,,Often,Rarely,It significantly affects my sleep,I feel it's out of control,Never,Sometimes,Rarely,normal,Occasionally,Jealous,Rarely or never,Rarely,Rarely,Never,Rarely
Other,,3-4 hours a day,Anxious or stressed,,Never,Often,It moderately affects my sleep,I feel it's out of control,Rarely,Often,Rarely,normal,Occasionally,Motivated,Sometimes,Never,Never,Sometimes,Often
Female,,More than 4 hours a day,Neutral,,Often,Rarely,It slightly affects my sleep,I feel I could reduce it a bit,Rarely,Never,Often,moderate,Often,Depressed,Often,Often,Rarely,Sometimes,Never
Female,,Less than 1 hour a day,Happy and relaxed,,Rarely,Rarely,It significantly affects my sleep,I'm satisfied,Sometimes,Rarely,Never,moderate,Occasionally,Depressed,Rarely or never,Sometimes,Never,Rarely,Often
Female,,3-4 hours a day,Happy and relaxed,,Never,Never,It slightly affects my sleep,I feel I spend too much time,Rarely,Sometimes,Never,moderate,Very often,Motivated,Rarely or never,Rarely,Sometimes,Rarely,Rarely
